Accession	Submission Date	Title	Number of Raw Files
PXD020992	2020-08-19	A structural model of the human mSWI/SNF (BAF) complex bound to the nucleosome informs disease mechanisms	7
PXD034529	2022-06-15	Organophosphorus pesticides catalyze protein crosslinking	7
PXD046472	2023-10-29	The SETD3 interacting protein was identified and screened by TurboID method, and Search for potential histidine methylation modification sites	7
PXD052687	2024-05-29	Human OTX2 TurboID Analysis in Transfected HDMB03 Cells	7
PXD053924	2024-07-12	Identification of interactors with HCMV pTRS1 using BioID and proteomics	7
PXD053383	2024-06-25	MORC2 phosphorylation fine tunes its DNA compaction activity	7
PXD006276	2017-04-10	Identification of Plasmodium yoelii ALBA4 Binding partners by Immunoprecipitation/nano LC-MS/MS, part 2	6
PXD015779	2019-10-10	SILAC APEX2-GAL9 upon LLOMe or GPN treatment	6
PXD015725	2019-10-16	Wnt activator FOXB2 drives the neuroendocrine differentiation of prostate cancer	6
PXD013144	2019-03-19	Structural basis for assembly of lamin at the molecular level	6
PXD010988	2018-09-03	Thanatin Targets the Inter-Membrane Protein Complex Required for Lipopolysaccharide  Transport in Escherichia coli	6
PXD002159	2015-05-11	Proteomic analysis of integrin adhesion complex assembly	6
PXD002293	2015-06-02	Saccharomyces cerevisiae mRBPome	6
PXD001675	2016-01-18	Quantitative cross-linking/mass spectrometry reveals subtle protein conformational changes	6
PXD004154	2016-05-16	Metalloprotease SPRTN/DVC1 Orchestrates Replication-Coupled DNA-Protein Crosslink Removal	6
PXD002960	2016-07-05	Interactome -  RNA/DNA Hybrid Interactome Identifies DXH9 as a Molecular Player in Transcriptional Termination and R-Loop-Associated DNA Damage	6
PXD006574	2017-05-26	An Evaluation of the Crystal Structure of C-terminal Truncated Apolipoprotein A-I in Solution Reveals Structural Dynamics Related to Lipid Binding	6
PXD009641	2018-05-01	The identification of Lipase Maturation Factor 1 (LMF1) partners	6
PXD009650	2018-05-02	53BP1 cooperation with the REV7–shieldin complex underpins DNA structure-specific NHEJ	6
PXD010468	2018-07-18	CHD1_RIME -  CHD1 Loss Alters AR Binding at Lineage-Specific Enhancers and Modulates Distinct Transcriptional Programs to Drive Prostate Tumorigenesis	6
PXD010004	2018-06-01	CASP XL-MS target H0968 (ID32): Cross-linking for the 13th Community Wide Experiment on the Critical Assessment of Techniques for Protein Structure Prediction (CASP13)  	6
PXD010094	2018-06-11	CASP XL-MS target H0953 (ID 51): Cross-linking for the 13th Community Wide Experiment on the Critical Assessment of Techniques for Protein Structure Prediction (CASP13)	6
PXD010003	2018-06-01	CASP XL-MS target H0957 (ID31): Cross-linking for the 13th Community Wide Experiment on the Critical Assessment of Techniques for Protein Structure Prediction (CASP13)	6
PXD010410	2018-07-13	CASP XL-MS target T0987: Cross-linking for the 13th Community Wide Experiment on the Critical Assessment of Techniques for Protein Structure Prediction (CASP13)	6
PXD010479	2018-07-18	Architecture and structural dynamics of the AROM complex	6
PXD010483	2018-07-18	CASP XL-MS target T0985: Cross-linking for the 13th Community Wide Experiment on the Critical Assessment of Techniques for Protein Structure Prediction (CASP13)	6
PXD010385	2018-07-11	CASP XL-MS target T0975: Cross-linking for the 13th Community Wide Experiment on the Critical Assessment of Techniques for Protein Structure Prediction (CASP13)	6
PXD010384	2018-07-11	CASP XL-MS target T0981: Cross-linking for the 13th Community Wide Experiment on the Critical Assessment of Techniques for Protein Structure Prediction (CASP13)	6
PXD011236	2018-10-01	The COMA complex plays a role in positioning Ipl1 activity proximal to Cse4 nucleosomes	6
PXD012521	2019-01-28	SLX4 and SLX4IP TAP-MS -  SLX4IP acts with SLX4 and XPF-ERCC1 to promote interstrand crosslink repair	6
PXD012624	2019-02-08	Reconstitution of microtubule nucleation in vitro reveals novel roles for Mzt1	6
PXD012882	2019-02-26	Direct Nucleosome Binding of Borealin Secures Chromosome Association of the Chromosomal Passenger Complex	6
PXD013769	2019-05-08	Cross-linking mass spectrometry of the CCAN and CCAN-Cenp-A complexes	6
PXD016224	2019-11-11	Characterization of the NTSR1-Arr2 complex	6
PXD016376	2019-11-21	The Aspartic Protease Ddi1 Contributes to DNA-Protein Crosslink Repair in Yeast	6
PXD017238	2020-01-21	Structural Basis for CAL1-Mediated Centromere Maintenance	6
PXD018687	2020-04-20	Physiological tau interactome in brain and its link to tauopathies_complete submission	6
PXD019400	2020-05-27	Architecture of the chromatin remodeler RSC and insights into its nucleosome engagement	6
PXD017996	2020-03-11	Characterization of Integrator module INTS10-INTS13-INTS14 and its connection to the cleavage module Part II	6
PXD016657	2019-12-09	First Clinical and Myopathological Description of a Myofibrillar Myopathy with Congenital Onset and Homozygous Mutation in FLNC	6
PXD014359	2019-06-24	Cross-linking mass spectrometry analysis of trimeric complex of CRM1, SNP1 and RanGTP cross-linked with BS3	6
PXD024335	2021-02-24	Autophagosome content profiling  - STAR Protocol Data Set	6
PXD021691	2020-09-25	Proximity labeling of Siglec-1 counter-receptors on activated regulatory T cells using Siglec-1-HRP multimers on nano-beads	6
PXD021693	2020-09-25	Proximity labeling of Siglec-1 counter-receptors on activated regulatory T cells using soluble Siglec-1-HRP multimers	6
PXD023164	2020-12-16	Structural and functional analyses identify unique features of the Smc5/6 complex among SMC family of complexes	6
PXD017951	2020-03-09	PrimPol primase mediates replication traverse of DNA interstrand crosslinks	6
PXD027565	2021-07-26	K562 cell line LC-MSMS,Quantitative measurement of hydrophobicity dependent LLPS property of chromatin condensate	6
PXD027128	2021-07-06	Novel recognition site for polyUb and UBL signals in Rpn1	6
PXD020370	2020-07-15	SLC15A4 functions as a metabolic guardian of immune cells by controlling mTORC1 and AMPK	6
PXD015051	2019-08-16	Identification of an RNA sponge that controls the levels, processing and efficacy of the RoxS riboregulator of central metabolism in B. subtilis	6
PXD017873	2020-07-08	Structure of Cyanobacterial Phycobilisome Core Revealed by Structural Modeling and Chemical Cross-linking	6
PXD014247	2019-06-13	GRASP Proximity Labeling	6
PXD023401	2021-01-04	Unbiased characterization and systematic profiling of metabolically labeled RNA-binding sites	6
PXD029014	2021-10-08	Phospho-proteomic analysis of DUSP6 deficient Caco-2 cells	6
PXD021375	2020-09-09	Interactome of the -subunit of L-type voltage-gated calcium channels in adult cardiomyocytes	6
PXD029071	2021-10-12	Transglutaminase 3 crosslinks MUC2 and stabilizes the colonic mucus layer	6
PXD027189	2021-07-08	Sequence specific recognition of U1 snRNP stem-loop 4 by the ubiquitin-like domain of U2 snRNP protein SF3A1 and its RGG motif	6
PXD027413	2021-07-19	A direct interplay between the co-chaperones Hop and p23 regulates cycle progression and client folding in the Hsp70/Hsp90 chaperone machineries	6
PXD031033	2022-01-17	Cross-linking MS of S. cerevisiae ORC bound to DNA and Cdc6	6
PXD034039	2022-05-24	Mass spectrometry analysis of unconventional kinetoplastid kinetochore proteins KKT1, KKT2, and KKT6	6
PXD034365	2022-06-06	Model Bacteria Physiological Studies Dataset 1: Triplicate replete proteomes for Ruergeria pomeroyi DSS-3  Dataset 2: Triplicate replete proteomes for Alteromonas macleodii MIT1002	6
PXD028315	2021-09-09	De novo formation of apical-basal polarity by Rap1 regulates epiblast patterning	6
PXD029955	2021-11-26	Reactivity-dependent profiling of RNA 5-methylcytidine dioxygenases	6
PXD035246	2022-07-11	Local depletion of proteoglycans mediates cartilage tissue repair in an ex vivo integration model	6
PXD035001	2022-06-30	Heat shock chaperone HSPB1 regulates cytoplasmic TDP-43 phase separation and liquid-to-gel transition	6
PXD025357	2021-04-13	BioID-based proteomic analysis of CARP3-proximal proteins in Trypanosoma brucei bloodstream forms	6
PXD029136	2021-10-14	Role of the E3 Ubiquitin-ligase Hakai in intestinal inflammation and cancer bowel disease	6
PXD037492	2022-10-17	Improved analysis of crosslinking mass spectrometry data with Kojak 2.0, advanced by integration into the Trans-Proteomic Pipeline	6
PXD038099	2022-11-11	Non-poly(A) RNA Interactome capture (RIC) of mouse liver	6
PXD038076	2022-11-09	Non-poly(A) RNA Interactome Capture (RIC) of mouse brain, kidney and liver	6
PXD028039	2021-08-20	The multivalency of the glucocorticoid receptor ligand-binding domain explains its manifold physiological activities	6
PXD031339	2022-01-30	In vivo and in vitro characterization and structural analysis of human DPCD protein in complex with RUVBL1/RUVBL2 AAA-ATPases	6
PXD037030	2022-09-27	Structural Assessment of the Full-Length Tumor Suppressor Protein p53 by Mass Spectrometry-Guided Computational Modeling	6
PXD039008	2022-12-21	A Spatiotemporal Notch Interaction Map from Membrane to Nucleus	6
PXD039010	2022-12-21	A Spatiotemporal Notch Interaction Map from Membrane to Nucleus	6
PXD041240	2023-03-31	A translational regulator MHZ9 modulates ethylene signaling in rice	6
PXD043245	2023-06-23	RhoBTB1 C-Terminal Binding Proteins	6
PXD040902	2023-03-15	Determination of protein monoclonal-antibody epitopes by a combination of  structural proteomics methods.	6
PXD038615	2023-05-04	LINE-1 ORF2p Structure. BS3 crosslinks	6
PXD026861	2021-06-22	LPA-TriCEPS crosslinked to human VICs	6
PXD039863	2023-02-04	Combined transcriptome and proteome analysis of the protein composition of the brochosomes of the leafhopper Nephotettix cincticeps	6
PXD042693	2023-06-02	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	6
PXD042673	2023-06-02	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	6
PXD047583	2023-12-06	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	6
PXD042700	2023-06-02	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	6
PXD042698	2023-06-02	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	6
PXD042702	2023-06-02	Ubiquitin-specific proximity labeling for the identification of E3 ubiquitin ligase substrates	6
PXD048297	2024-01-07	MAGE-A4 TCR-like antibody immunoprecipitation in A375 and A375 MAGE-A4 KO xenograft tissue	6
PXD048869	2024-01-25	Phosphorylation of the compartmentalized PKA substrate TAF15 regulates RNA-Protein interactions	6
PXD046385	2023-10-25	Ribosomal Protein SA (RPSA) is required for localized translation and sarcomere maintenance	6
PXD042282	2023-05-17	Coimmunoprecipitation and following mass spectrometry analysis of EhRacM	6
PXD039983	2023-02-09	Proximity labeling of SPARK-TurboID	6
PXD054199	2024-07-24	Candidate Proteins Interacting with Cytoskeleton in Cells from the Basal Airway Epithelium in vitro	6
PXD044801	2023-08-23	Label free-DDA nano-LC/MS/MS analysis of Human Mesenteric lymph collected from Inflammatory Bowel Disease (IBD) subjects.	6
PXD053760	2024-07-08	ARL3 GTPases facilitate ODA16 unloading from IFT in motile cilia	6
PXD044827	2023-08-24	BS3 crosslinking of the Anaphase-Promoting Complex/Cyclosome (APC/C)	6
PXD055749	2024-09-09	Global proteome of mid- and late-development Petunia inflata flower petal protoplasts	6
PXD047987	2023-12-20	A genome-wide screen identifies silencers with distinct chromatin properties and mechanisms of repression	6
PXD053790	2024-07-09	Proteomics analysis of trematode eggshells	6
PXD055512	2024-09-03	Comparison of MS Annika 3.0 against other crosslink search engines	6
PXD022443	2020-11-10	Characterizing protein conformers by cross-linking mass spectrometry and pattern recognition	6
PXD060111	2025-01-23	Dexter Energy Transfer Photocatalysis Enables Covalent Label-ing and Profiling of Amyloid Plagues in Alzheimer’s Disease Tissue	6
PXD060112	2025-01-23	Dexter Energy Transfer Photocatalysis Enables Covalent Label-ing and Profiling of Amyloid Plagues in Alzheimer’s Disease Tissue	6
PXD054616	2024-08-06	Using proximity labeling by turboID (biotin ligase) fused with PAICS combined with LC-MS for identification of the acetyltransferase associated with PAICS in oncogene RAS activation induced senescent human IMR90 cell	6
PXD048937	2024-01-28	Using proximity labeling by turboID (biotin ligase) fused with ACSS2 combined with LC-MS for identification of the proteins associated with ACSS2 in oncogene RAS activation induced senescent human IMR90 cell	6
PXD060724	2025-02-12	Epitope and paratope mapping of a SUMO-remnant antibody using cross-linking mass spectrometry and molecular docking	6
PXD048097	2023-12-23	Lamp1 proximity labeling proteomics in 5XFAD mice	6
PXD054857	2024-08-14	SIRT3 functions as an eraser of histone H3K9 lactylation to modulate transcription for inhibiting the progression of esophageal cancer	6
PXD054972	2024-08-17	Structural basis for membrane remodelling by the AP5:SPG11-SPG15 complex	6
PXD061911	2025-03-17	Human HeLa cells SREBP2-TurboID-MS	6
PXD052817	2024-06-04	Linear Protein Identification of Soluble and Insoluble Fractions from In-Situ DSSO Crosslinked Human Mitochondria	6
PXD015994	2019-10-24	DeSUMOylase SENP7 mediated epithelial signaling triggers intestinal inflammation via expansion of Gamma-delta T cell	6
PXD052694	2024-05-30	PDZD8-FKBP8 tethering complex at ER-mitochondria contact sites  regulates mitochondrial complexity	6
PXD057053	2024-10-22	proteome sequencing for the colon tissues of mice with ckmt1 knockout	6
PXD058056	2024-11-19	Interaction of saposin C and acid-beta-glucosidase	6
PXD059369	2025-01-02	Cross-Link of active PhK and GP	6
PXD059356	2025-01-02	Cross-Link of inactive PhK and GP	6
PXD054597	2024-08-05	VRN1-associated proteins in Arabidopsis thaliana	6
PXD059125	2024-12-22	Nucleolar beacon for monitoring nucleolar morphology and proteomics in living cells	6
PXD063921	2025-05-14	Allosteric activation of the SPRTN protease by ubiquitin maintains genome stability	6
PXD057009	2024-10-21	proximity labeling 4T1 Cells through PCN	6
PXD054141	2024-07-23	Nucleosomes gate cofactor access to the transcription factor p53 P53_USP7TRAF_FL_NCP	6
PXD051143	2024-04-02	SOX11-SMARCA4 Complex Drives Oncogenic Gene Regulation in Mantle Cell Lymphoma	6
PXD056954	2024-10-18	Streptavidin biotin-CCW16 pulldown to determine CCW16-modified proteins in HeLa lysate	6
PXD060781	2025-02-13	Proximity labeling with CB5LP in Arabidopsis seedlings using TurboID	6
PXD051470	2024-04-16	N-terminomics profiling of naive and inflamed murine colon reveals proteolytic signals of legumain	6
PXD067354	2025-08-14	Proximity labeling – LC/MS-MS with ERC1-TurboID/atg7-2 Arabidopsis seedlings	6
PXD067352	2025-08-14	Proximity labeling – LC/MS-MS with TurboID-ATG8e/atg2-1 Arabidopsis seedlings	6
PXD054379	2024-07-30	Cotranslational activity of the GroEL chaperonin	6
PXD059488	2025-01-07	5'UTR-mediated retention of eIF3 on 80S ribosomes promotes co-translational folding of ER membrane proteins	6
PXD061223	2025-02-26	E-cadherin mechanotransduction activates EGFR/ERK signaling by inducing ligand shedding	6
PXD014738	2019-07-24	BS3 crosslinking of GRC3 and Las1	5
PXD004105	2016-07-08	VCP–adaptor interactions are exceptionally dynamic and subject to differential modulation by a VCP inhibitor	5
PXD005509	2016-12-06	Phase separation of C9orf72 dipeptide repeats perturbs stress granule metabolism	5
PXD005422	2016-12-04	Methylated-antibody affinity purification to improve proteomic identification of plant RNA polymerase Pol V complex and the interacting proteins	5
PXD007852	2017-09-27	Analysis of the Salivary Gland Transcriptome of Unfed and Partially Fed Amblyomma sculptum Ticks and Descriptive Proteome of the Saliva	5
PXD009777	2018-05-14	Cross-linking Analysis (HSP70-HSP90-CHIP)	5
PXD011645	2018-11-09	Native alpha synuclein crosslinking	5
PXD020076	2020-06-29	The spatial network of skeletal proteins in a stony coral	5
PXD019530	2020-06-03	Molecular determinant for MED1 interaction with the VDR-RXR heterodimer	5
PXD005657	2017-12-04	Direct evidence of the presence of cross-linked Aβ dimers in the brains of Alzheimer’s disease patients	5
PXD019215	2020-05-15	MC4 crosslinking of rhodopsin and GRK1 complex	5
PXD027159	2021-12-21	Reanalysis of a synthetic cross-linked peptide library with MaxLynx	5
PXD006541	2017-05-18	LC-MSMS of cell secretome for MAP1LC3B interactors	5
PXD034115	2022-05-25	Analysis of myosin light chain migration pattern in 2D gels of human left ventricular proteins - proximity labeling	5
PXD029675	2021-11-11	Chemical Probing Discovers New Insights into the Native Assembly State of a  Bacterial Microcompartment	5
PXD037983	2022-11-07	Regioselective Protein Oxidative Cleavage Enabled by an Enzyme-like Recognition of an Inorganic Metal Oxo Cluster Ligand	5
PXD033181	2023-02-02	Interactions between basic helix-loop-helix transcription factors and nucleosomes	5
PXD033593	2022-05-04	Dichlorvos-induced formation of isopeptide crosslinks between proteins in SH-SY5Y cells	5
PXD046926	2023-11-14	Cryo-EM structure of the extracellular domain of murine Thrombopoietin Receptor in complex with Thrombopoietin.	5
PXD044630	2023-08-18	Quality control at the cell surface prevents accumulation of damaged L-type CaV1.2 calcium channels	5
PXD046392	2023-10-25	Modeling flexible protein structure with AlphaFold2 and cross-linking mass spectrometry	5
PXD048906	2024-01-26	Structural basis for lipid transfer by the ATG2A-ATG9A complex	5
PXD044285	2023-08-02	Investigation of the FcRn:IgG interaction by HDX-MS	5
PXD053582	2024-07-03	Protein misfolding involving entanglements provides a structural explanation for the origin of stretched-exponential refolding kinetics	5
PXD053481	2024-06-28	Mapping the interaction surface between CaVβ and actin and its role in calcium channel clearance	5
PXD056949	2024-10-18	NHS esters are non-innocent protein acylating reagents	5
PXD056652	2024-10-09	Determining TCR Binding Orientation and Peptide-HLA Interac-tions Using Cross-Linking Mass Spectrometry	5
PXD054249	2024-07-25	SMAP3-ID for identification of protein-protein interactions in native cells	5
PXD066083	2025-07-13	Non-native entanglement protein misfolding observed in all-atom simulations and supported by experimental structural ensembles	5
PXD043301	2023-06-26	GPATCH4 regulates rRNA and snRNA 2’-O-methylation in both DHX15-dependent and DHX15-independent mannersGPATCH4 regulates rRNA and snRNA 2’-O-methylation in both DHX15-dependent and DHX15-independent manners	5
PXD059137	2024-12-23	Proteomic profiling of PRLX-93936 and structurally similar compounds in pancreatic cancer cells. 	5
PXD064932	2025-06-12	Cross-link MS analysis of human 26S proteasome in complex with RPN13:UCHL5 (with substrate).	5
PXD064931	2025-06-12	Cross-link MS analysis of human 26S proteasome in complex with RPN13:UCHL5 (without substrate).	5
PXD010930	2018-08-29	Human Ku70 WT AP-MS -  Mapping the Ku interactome using proximity-dependent biotin identification in human cells	4
PXD010931	2018-08-29	HEK293 Ku70 WT BioID -  Mapping the Ku interactome using proximity-dependent biotin identification in human cells	4
PXD001454	2014-10-31	Investigation of human TFIID subcomplexes 7TAF and 8TAF by cross-linking mass spectrometry	4
PXD003502	2016-01-21	Cross-linking mass spectrometric analysis of Ska-MT interactions	4
PXD004018	2016-04-20	Surface Proteomics of Plasmodium yoelii Salivary Gland Sporozoites	4
PXD004473	2016-06-30	The influence of sporulation medium on the spore coat protein composition of Bacillus subtilis spores.	4
PXD004562	2017-02-02	Temporal Analysis of Cell Protein Ubiquitination during Epstein-Barr Virus Reactivation by BCR Cross-linking	4
PXD004749	2016-08-10	Cross-Linked/Mass-spectrometry analysis of RNA-Polimerase II	4
PXD009748	2018-05-11	Proximity labeling and identification of the proteins that interact with Siglec-14 on THP-1 cells	4
PXD008122	2017-11-03	Structural insights into the assembly and polyA signal recognition mechanism of the human CPSF complex	4
PXD008215	2017-11-15	Aurora B kinase disrupts the extended conformation of lattice-bound Kinesin-13 MCAK	4
PXD008164	2017-11-08	Use of a Photo-crosslinkable Diaminoquinazoline Inhibitor for Target Identification in Plasmodium Falciparum	4
PXD010061	2018-06-07	Mutations in disordered regions cause disease by creating dileucine motifs - BioID	4
PXD010481	2018-07-19	Cross-Linking/mass spectrometry (CLMS) analysis of RNA polymerase II	4
PXD011833	2018-11-26	The Amino-Terminal Part of Human Filaggrin-2 is a Component of Cornified Envelopes	4
PXD018367	2020-04-04	Patient-derived scaffolds uncover breast cancer promoting properties of the microenvironment	4
PXD017964	2020-03-10	A truncated MRE11 form induced by SPRTN is deficient in DNA repair and radiosensitises cancer cells	4
PXD021708	2021-03-09	In vitro crosslinking of PAX8 and PRDM3	4
PXD024640	2021-03-10	BS3 intermolecular crosslinking map of SAGA and SLIK (SAGA-like) transcription coactivators	4
PXD024198	2021-02-16	Phenotypic manifestation of-synuclein strains amplified from Parkinson’s disease and multiple system atrophy in human dopaminergic neurons	4
PXD024492	2021-03-03	LC-MS/MS analysis of Prp28-K136BPA experiment	4
PXD024493	2021-03-03	LC-MS/MS analysis of Prp28-E326BPA experiment	4
PXD025066	2021-03-29	Furan warheads for covalent trapping of weak protein-protein interactions: specific cross-linking of thymosin β4 to actin	4
PXD024669	2021-03-11	MALDI-MS Profiling of Intact Blood Proteins without the Need for Freezing - Dried Serum Spots as Future Clinical Tools for Patient Screening	4
PXD022772	2020-11-26	MS Annika: A new Cross-Linking Search Engine	4
PXD024131	2021-02-11	Puf6 ushers correct rRNA compaction during ribosome assembly	4
PXD024160	2021-05-11	Nse5/6 inhibits the Smc5/6 ATPase and modulates DNA substrate binding	4
PXD022785	2020-11-27	Toxoplasma conoid proteome by BioID	4
PXD024519	2021-03-04	XL-MS analysis of human tyrosine hydroxylase	4
PXD027203	2021-07-09	Evaluation of mass spectrometry MS/MS spectra for the presence of isopeptide crosslinked peptides	4
PXD026508	2021-06-07	Withaferin A inhibits LFA-1-stimulated ZAP70 activity and T-cell motility	4
PXD031845	2022-02-23	Cell Surface Engineering Enables Surfaceome Profiling	4
PXD031827	2022-02-22	Cross-link mass spectrometry reveals conformational changes within the N lobe and the activation loop of PDK1 upon dimerization	4
PXD024690	2021-03-12	Identification of Siglec-7-ligand candidates on JVM-3 human B cell line by proximity labeling	4
PXD034417	2022-06-09	Engineering consortia by polymeric microbial swarmbots	4
PXD032906	2022-04-02	GBPL3 is a novel component of the nuclear pore complex and functionally connects the nuclear basket with the nucleoskeleton in plants	4
PXD029781	2021-11-17	CerS2 dependent Sphingolipid - protein interactions in rat beta cell line Ins1E	4
PXD031096	2022-01-19	To decipher an overall structure of a bacterial anti-plasmid defense system using cross-linking mass spectrometry.	4
PXD024671	2021-03-11	The structural heterogeneity of α-synuclein is governed by several distinct subpopulations with interconversion times slower than milliseconds	4
PXD034475	2022-06-10	Cross-linked ammonia monooxygenase complex in BN-PAGE gel from Nitrososphaera viennensis	4
PXD036106	2022-08-16	Extended DNA threading through a dual-engine motor module in the activating signal co-integrator complex	4
PXD033633	2022-05-04	The modulation of CHD4 nucleosome remodelling activity by auxiliary domains suggests unifies mechanistic aspects of chromatin remodelling across enzyme families	4
PXD036675	2022-09-12	A degradation motif in STAU1 defines a novel family of proteins involved in inflammation	4
PXD037729	2022-10-26	Chemical crosslinking and mass spectrometry of the human Rix1 complex	4
PXD040392	2023-02-24	Distribution of phosphorylated alpha-synuclein in non-diseased brain implicates olfactory bulb mitral cells in synucleinopathy pathogenesis.	4
PXD031197	2022-01-25	TurboID-based proximity labeling to identify LONP1-targeting proteins	4
PXD041019	2023-03-22	Identification of the potential receptor of Musclin on C3H10T1/2 cell using BioID assay	4
PXD037249	2022-10-10	A SAM key domain required for enzymatic activity and allosteric activation of the Fun30 nucleosome remodeler	4
PXD041955	2023-05-03	Extending MS Annika for MS2-MS3-based Cross-linking Workflows	4
PXD042830	2023-06-09	Mass spectrometry analysis of VHL and BICD2 binding protein in HEK-293t cells	4
PXD043019	2023-06-15	Mapping of bone marrow sample proteome of Pinch1/2 knockout mice	4
PXD047030	2023-11-16	Evaluating protein crosslinking as a therapeutic strategy to stabilize SOD1 variants in a mouse model of familial ALS	4
PXD046895	2023-11-13	Hsp70 and NAC chaperone systems are in close proximity on the ribosome	4
PXD043041	2023-06-16	TurboID-mediated proximity labeling for screening interacting proteins of FIP37 in Arabidopsis	4
PXD044723	2023-08-22	Quality control at the cell surface prevents accumulation of damaged L-type CaV1.2 calcium channels	4
PXD033205	2022-04-13	First direct observation of elongated conformational states in alpha-synuclein upon liquid-liquid phase separation	4
PXD050556	2024-03-12	The SETD3 interacting protein was identified and screened by TurboID method, and Search for potential histidine methylation modification sites	4
PXD051688	2024-04-24	Synthetic Methylotrophic E. coli proteomics	4
PXD039401	2023-01-13	Identification of the E3 ligase(s) recruited by 955 to degrade CDK9	4
PXD043900	2023-07-19	The previously uncharacterized YlxR (RnpM) protein modulates the activity of ribonuclease P	4
PXD039986	2023-02-09	Proximity labeling of TurboID-SPARKEL	4
PXD039985	2023-02-09	Proximity labeling of SPARKEL-TurboID	4
PXD046529	2023-10-31	The interaction between DNMT3A with H3Kc36me2 modified nucleosomes	4
PXD055969	2024-09-18	The influence of amniotic membrane proteins delivered directly or through hydrogel platforms on corneal regeneration	4
PXD053456	2024-06-27	Mapping the interaction surface between CaVβ and actin and its role in calcium channel clearance 	4
PXD052470	2024-05-22	TMT-Based quantitative proteomics reveals the genetic mechanisms of secondary hair follicle development in the fine wool sheep foetus	4
PXD056617	2024-10-08	IP-to-MS: an unbiased workflow for antigen profiling	4
PXD058941	2024-12-17	Phosphorylation of TRAIP is essential for mitotic replisome disassembly and MiDAS	4
PXD053379	2024-06-25	MORC2 phosphorylation fine tunes its DNA compaction activity	4
PXD065573	2025-06-28	Mechanism of Rad51 filament formation by Rad52 and Rad55-Rad57 in homologous recombination	4
PXD049983	2024-02-21	Human hepatic micropeptide LC-MS/MS	4
PXD062203	2025-03-25	PLAMseq enables the proteo-genomic characterization of chromatin-associated proteins and protein interactions in a single workflow.	4
PXD006246	2017-04-03	Cross-linking/mass spectrometry analysis of AUGMIN complex	3
PXD013001	2019-03-06	HDX-MS of CSN-CRL2 complexes -  Structural basis of Cullin 2 RING E3 ligase regulation by the COP9 signalosome	3
PXD004074	2016-04-28	Pre-40S ribosome biogenesis factor Tsr1 is an inactive structural mimic of translational GTPases	3
PXD000244	2016-05-10	14-3-3 membrane protein interactome	3
PXD005601	2016-12-20	mRNA-binding proteins of Leishmania donovani LC-MSMS	3
PXD009648	2018-05-02	Cross-linking/mass spectrometry analysis of the AOC complex	3
PXD012723	2019-02-15	Crosslinking RNF168(1-113) to Nucleosome core particels	3
PXD012806	2019-02-20	Proteomics of diphtheria toxoid vaccines reveals multiple proteins that are immunogenic and may contribute to protection of humans against Corynebacterium diphtheriae	3
PXD014009	2019-05-24	Lamin A molecular compression and sliding as mechanisms behind nucleoskeleton elasticity (complementary data of PXD008337)	3
PXD020229	2020-07-07	Crosslinking mass spectrometry of the unconventional kinetoplastid kinetochore protein KKT4	3
PXD021182	2020-08-28	dentification of Cross-linking partners of BpA modified p37 and p97  by photo cross-linking MS	3
PXD021417	2020-09-11	Reanalysis of a synthetic cross-linked peptide library with OpenPepXL for benchmarking purposes	3
PXD014520	2019-07-08	Reanalysis of Cross-Linking Mass Spectrometry data from a ribisomal cellular fraction for benchmarking purposes	3
PXD019023	2020-05-07	Study of Brucella abortus / Agrobacterium tumefaciens outer membrane proteins covalently bound to peptidoglycan	3
PXD023073	2020-12-11	NeissLock: an inducible protein anhydride for covalent targeting of endogenous proteins	3
PXD014642	2019-07-17	Probing the Function of Alternative Proteins in Cell Reprogramming by Large Scale Proteomics and Cross - Linking Mass Spectrometry	3
PXD010474	2018-07-18	Proximity-dependent biotinylation to elucidate the interactome of TNK2 non-receptor tyrosine kinase	3
PXD019713	2020-06-11	DSSO,Xlink,LC-MSMS - DSSO as linker, study of protein-protein interaction by LC-MSMS	3
PXD019599	2020-06-05	Engineered chemotaxis core signaling units	3
PXD019868	2020-06-18	study of protein-protein interaction by LC-MSMS	3
PXD023525	2021-01-11	OGDH/DHTKD1-DLST (E1o/E1a- E2o) CL-MS	3
PXD028652	2021-09-20	Mounting, structure and autocleavage of a type VI secretion-associated Rhs polymorphic toxin	3
PXD030495	2021-12-17	Identification of synaptic DGKq interactors that stimulate DGKq activity	3
PXD024120	2021-02-11	Interactome screening of C9orf72 dipeptide repeats reveals sequestration and functional impairment of VCP by polyGA	3
PXD027745	2021-08-05	The protection of Evodiamine against Ulcerative Colitis and Colorectal Cancer via anti-inflammation	3
PXD028433	2021-09-09	Molecular Basis for CPC-Sgo1 Interaction: Implications for Centromere Localisation and Function of the CPCMolecular Basis for CPC-Sgo1 Interaction: Implications for Centromere Localisation and Function of the CPC	3
PXD032238	2022-03-11	Operation of a TCA cycle subnetwork in the mammalian nucleus_mass4tox	3
PXD034193	2022-05-29	Protein composition of Toxoplasma endocytic and exocytic structures by proximity-dependent biotinylation	3
